time,flow,occupancy,speed
8.70012,0,nan,nan
18.7001,0,nan,nan
28.7001,0,nan,nan
38.7001,744,2.06885,30.935
48.7001,1478,2.37249,26.9759
58.7001,1778,2.49024,25.7004
68.7001,1991,2.54419,25.1554
78.7001,2012,2.40937,26.563
88.7001,2394,2.70281,23.6791
98.7001,2480,2.72874,23.4541
108.7,2550,2.67846,23.8944
118.7,2699,2.36016,27.1168
128.7,2741,2.27488,28.1333
138.7,2855,2.39082,26.769
148.7,2880,2.22821,28.7226
158.7,2880,2.20122,29.0747
168.7,2966,2.24637,28.4903
178.7,2981,2.25668,28.3603
188.7,2995,2.3197,27.5898
198.7,3007,2.42837,26.3551
208.7,3070,2.52112,25.3855
218.7,3078,2.62505,24.3805
228.7,3132,2.61685,24.4569
238.7,3121,2.99206,21.3899
248.7,3184,3.66576,17.4589
258.7,3186,4.10393,15.5948
268.7,3175,4.06431,15.7468
278.7,3229,4.39545,14.5605
288.7,3204,4.42731,14.4557
298.7,3229,5.2723,12.1389
