time,flow,occupancy,speed
9.78618,0,nan,nan
19.7862,363,2.4364,26.2682
29.7862,966,2.50178,25.5818
39.7862,995,2.70072,23.6974
49.7862,1012,2.59582,24.655
59.7862,1023,2.58882,24.7217
69.7862,1031,2.613,24.4929
79.7862,1082,2.61189,24.5033
89.7862,1162,2.54665,25.1311
99.7862,1154,2.4687,25.9246
109.786,1147,2.5608,24.9922
119.786,1142,2.53238,25.2727
129.786,1137,2.54739,25.1238
139.786,1158,2.60539,24.5645
149.786,1201,2.70769,23.6364
159.786,1194,2.69139,23.7796
169.786,1187,2.54605,25.1369
179.786,1181,2.67508,23.9245
189.786,1176,2.57956,24.8104
199.786,1171,2.46938,25.9174
209.786,1218,2.66209,24.0412
219.786,1212,2.57129,24.8903
229.786,1206,2.53488,25.2477
239.786,1201,2.35607,27.1638
249.786,1196,2.42491,26.3928
259.786,1233,2.46432,25.9707
269.786,1227,2.62689,24.3634
279.786,1222,2.5419,25.178
289.786,1217,2.34623,27.2778
299.786,1212,2.43445,26.2894
